,Currency,Name,Units per CHF,CHF per unit,Date
1,EUR,Euro,0.9731159321492936,1.027626788301912,2022-05-29
1,EUR,Euro,0.9690794781612584,1.0319071062132186,2022-05-30
1,EUR,Euro,0.9736282278755676,1.0270860800553976,2022-05-31
1,EUR,Euro,0.9741689548756804,1.0265159806161304,2022-06-01
1,EUR,Euro,0.9711078296430136,1.0297517633727735,2022-06-02
1,EUR,Euro,0.968594757331994,1.0324235108958384,2022-06-03
1,EUR,Euro,0.9696070222803304,1.0313456658432518,2022-06-04
1,EUR,Euro,0.969938122371868,1.0309936035451617,2022-06-05
1,EUR,Euro,0.9648686994683118,1.0364104468836508,2022-06-06
1,EUR,Euro,0.9606548830414424,1.040956557503763,2022-06-07
1,EUR,Euro,0.9549512922104724,1.0471738277721487,2022-06-08
1,EUR,Euro,0.959928125901818,1.0417446608937897,2022-06-09
1,EUR,Euro,0.9613288248879412,1.040226792446972,2022-06-10
1,EUR,Euro,0.9628033544253216,1.038633689219831,2022-06-11
1,EUR,Euro,0.9621065371440738,1.0393859322153756,2022-06-12
1,EUR,Euro,0.9615914798600932,1.0399426585450766,2022-06-13
1,EUR,Euro,0.9583446643500187,1.0434659232732653,2022-06-14
1,EUR,Euro,0.9604637583938368,1.041163699578086,2022-06-15
1,EUR,Euro,0.983185236179674,1.017102335553433,2022-06-16
1,EUR,Euro,0.9827384075482224,1.0175647886753938,2022-06-17
1,EUR,Euro,0.9817207551424176,1.018619597030859,2022-06-18
1,EUR,Euro,0.9832154806234088,1.0170710487246897,2022-06-19
1,EUR,Euro,0.9824941672415228,1.0178177472621817,2022-06-20
1,EUR,Euro,0.9812382842938993,1.0191204481178615,2022-06-21
1,EUR,Euro,0.9825833363487813,1.0177253806439848,2022-06-22
1,EUR,Euro,0.9906925705859384,1.0093948715175656,2022-06-23
1,EUR,Euro,0.9914835920254772,1.0085895601732802,2022-06-24
1,EUR,Euro,0.9879719202467931,1.0121745158002085,2022-06-25
1,EUR,Euro,0.987425054677848,1.0127350883619766,2022-06-26
1,EUR,Euro,0.9875107847998712,1.0126471684080494,2022-06-27
1,EUR,Euro,0.9924589651314072,1.0075983341715231,2022-06-28
1,EUR,Euro,1.0002924337650505,0.9997076517274556,2022-06-29
1,EUR,Euro,1.0001243232686978,0.999875692185656,2022-06-30
1,EUR,Euro,0.9982221257877246,1.0017810406785688,2022-07-01
1,EUR,Euro,0.9996129406105198,1.000387209262461,2022-07-02
1,EUR,Euro,1.0000067465207858,0.9999932535247296,2022-07-03
1,EUR,Euro,0.9979728590612718,1.0020312585861657,2022-07-04
1,EUR,Euro,1.006236997089778,0.9938016619267463,2022-07-05
1,EUR,Euro,1.0121678970310035,0.9879783807936452,2022-07-06
1,EUR,Euro,1.0114877130133804,0.9886427557491956,2022-07-07
1,EUR,Euro,1.00496885198349,0.9950557154346792,2022-07-08
1,EUR,Euro,1.0054085287891306,0.994620566034342,2022-07-09
1,EUR,Euro,1.0045535271324235,0.9954671134892912,2022-07-10
1,EUR,Euro,1.0123073630934716,0.9878422665465338,2022-07-11
1,EUR,Euro,1.012314800258232,0.9878350091739342,2022-07-12
1,EUR,Euro,1.013857504628118,0.9863319011154325,2022-07-13
1,EUR,Euro,1.0146104474150248,0.9855999438481552,2022-07-14
1,EUR,Euro,1.013815494644351,0.9863727722476786,2022-07-15
1,EUR,Euro,1.0156772502037352,0.9845647323491882,2022-07-16
1,EUR,Euro,1.0147347403476712,0.9854792195814416,2022-07-17
1,EUR,Euro,1.0078381404419106,0.9922228182012702,2022-07-18
1,EUR,Euro,1.0085183342091804,0.9915536149217752,2022-07-19
1,EUR,Euro,1.0070383335876751,0.9930108583229396,2022-07-20
1,EUR,Euro,1.011236228212749,0.9888886217688148,2022-07-21
1,EUR,Euro,1.017282337815839,0.9830112672034144,2022-07-22
1,EUR,Euro,1.0158034623493757,0.984442401571634,2022-07-23
1,EUR,Euro,1.0182018091276708,0.982123574163294,2022-07-24
1,EUR,Euro,1.0147240775420523,0.9854895750796432,2022-07-25
1,EUR,Euro,1.0260427580596647,0.974618252645812,2022-07-26
1,EUR,Euro,1.0247196876066984,0.9758766344536302,2022-07-27
1,EUR,Euro,1.0285333928578353,0.9722581755186832,2022-07-28
1,EUR,Euro,1.030221499402006,0.9706650468665736,2022-07-29
1,EUR,Euro,1.0266396140256824,0.9740516402623288,2022-07-30
1,EUR,Euro,1.0279704420043856,0.9727906164793536,2022-07-31
1,EUR,Euro,1.026365863092298,0.9743114380160098,2022-08-01
1,EUR,Euro,1.0279688785712815,0.9727920959920948,2022-08-02
1,EUR,Euro,1.0235570900382212,0.9769850746309212,2022-08-03
1,EUR,Euro,1.0227868037978542,0.9777208664471996,2022-08-04
1,EUR,Euro,1.020626382353963,0.97979046719683,2022-08-05
1,EUR,Euro,1.0212164987936312,0.9792242890526208,2022-08-06
1,EUR,Euro,1.0207920234780117,0.9796314792829498,2022-08-07
1,EUR,Euro,1.0262846471240552,0.9743885410371164,2022-08-08
1,EUR,Euro,1.026516216545686,0.974168730977368,2022-08-09
1,EUR,Euro,1.02846699817857,0.972320941528522,2022-08-10
1,EUR,Euro,1.0298827708452487,0.9709842987073924,2022-08-11
